dataset1_index,dataset2_index,dataset1_name,dataset2_name,distance_meters,name_similarity,combined_score,dataset1_id,dataset2_id,dataset1_x,dataset1_y,dataset2_x,dataset2_y
69,0,ЛЕРМОНТОВСКИЙ ПР,Лермонтовский пр.,48.708942780503946,1.0,0.3180748010729448,1812,5,348529.30546289514,6646188.741204764,348484.1076006769,6646170.583166387
102,94,ст. м. ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ,ст. м. Технологический институт,1.6572663135661347,1.0,0.976798271610074,6009,1658,350048.66807825776,6645055.501097163,350047.70386105706,6645056.84899064
111,97,ВЕРЕЙСКАЯ УЛ,Верейская ул.,6.2839191932884235,1.0,0.912025131293962,6294,1684,350370.48748248524,6645369.583530209,350371.7496574013,6645375.739385544
61,98,"ВИТЕБСКИЙ ВОКЗАЛ, ст. м. ПУШКИНСКАЯ","Витебский вокзал, ст. м. Пушкинская",5.542443167533912,1.0,0.9224057956545253,1512,1685,350629.2291267881,6645542.708324657,350627.3284905519,6645537.501957578
146,99,"ВИТЕБСКИЙ ВОКЗАЛ, ст. м. ПУШКИНСКАЯ","Витебский вокзал, ст. м. Пушкинская",2.7288930510804037,1.0,0.9617954972848743,8373,1686,350648.2685977261,6645554.152527012,350647.0724921451,6645551.699734986
70,100,ИЗМАЙЛОВСКИЙ ПР,Измайловский пр.,31.00829671756504,1.0,0.5658838459540894,1873,1714,349506.65558961086,6644262.073932432,349537.17979045166,6644256.616128079
80,102,АДМИРАЛТЕЙСКИЙ ПР,Адмиралтейский пр.,21.884335681333965,1.0,0.6936193004613245,2227,1761,349654.5816237432,6647342.779241312,349637.7275857463,6647328.81981613
8,103,ПОЧТАМТСКИЙ ПЕР,Почтамтский пер.,2.9045919501104764,1.0,0.9593357126984534,241,1796,349049.89256593655,6647030.174198631,349049.3826587743,6647033.03368269
36,104,УЛ. ЯКУБОВИЧА,ул. Якубовича,7.106048955363662,1.0,0.9005153146249087,861,1799,349316.0150481127,6647105.15821765,349322.50065058086,6647108.06216193
23,105,ПЛ. ТРУДА. ЦЕНТРАЛЬНЫЙ ВОЕННО-МОРСКОЙ МУЗЕЙ,"пл. Труда, центральный военно-морской музей",11.885561189431597,1.0,0.8336021433479577,401,1810,348649.1849709741,6646929.428433936,348642.8600147804,6646939.491310957
119,106,КОННОГВАРДЕЙСКИЙ БУЛЬВАР,Конногвардейский бульвар,3.019955046941611,1.0,0.9577206293428173,6755,1811,349182.34652748134,6647176.991787748,349182.8122667062,6647174.007962107
14,108,"МОСКОВСКИЙ ПР.,4","Московский пр., 4",8.054320140378344,1.0,0.887239518034703,318,1844,350075.85132437985,6646118.4659220865,350081.5004898563,6646112.724928937
93,109,САДОВАЯ УЛ,Садовая ул.,2.3910034329042085,1.0,0.966525951939341,4973,1978,349529.6946338228,6645791.842746835,349530.01240096905,6645789.472953288
104,110,РИЖСКИЙ ПР,Рижский пр.,0.9662580739080826,1.0,0.9864723869652867,6060,2018,347757.14610963967,6644833.395460846,347756.2606238512,6644833.782203116
107,95,5-Я КРАСНОАРМЕЙСКАЯ УЛ,5-я Красноармейская ул.,2.1841622849568845,1.0,0.9694217280106034,6282,1660,350043.37585398305,6644740.4064133195,350043.0420305835,6644738.24791226
108,93,НАБ. ОБВОДНОГО КАНАЛА,наб. Обводного канала,1.219930245595537,1.0,0.9829209765616624,6283,1657,350038.5922012144,6644443.207963822,350037.4568969321,6644443.654409777
37,112,САД ВАЛЕНТИНА ПИКУЛЯ,сад Валентина Пикуля,9.577233462281946,1.0,0.8659187315280528,955,2049,349430.5832399054,6644723.301618965,349430.8832280206,6644732.874153004
66,92,УЛ. РОЗЕНШТЕЙНА,ул. Розенштейна,11.968313786520525,1.0,0.8324436069887127,1671,1655,348577.4235686043,6644349.2343571745,348588.13523529435,6644354.572964822
72,77,ТРОИЦКИЙ ПР,Троицкий пр.,15.510803025237085,1.0,0.7828487576466807,1922,1454,348929.6612146812,6645113.243684402,348945.1707231634,6645113.444076839
0,78,1-Я КРАСНОАРМЕЙСКАЯ УЛ,1-я Красноармейская ул.,15.253918428655098,1.0,0.7864451419988285,6,1455,349629.54064036655,6645107.249896209,349643.7904444302,6645101.807000695
6,79,ИСААКИЕВСКАЯ пл.,Исаакиевская пл.,14.489008799603683,1.0,0.7971538768055484,215,1463,349531.0184583702,6646894.5761184385,349535.77142504306,6646880.888873142
9,80,КРАСНОГРАДСКИЙ ПЕР,Красноградский пер.,40.489759126193235,1.0,0.4331433722332947,249,1499,349529.64975955756,6646155.533324732,349545.2037497418,6646118.150253919
55,81,пл. ТУРГЕНЕВА,пл. Тургенева,1.110057708765512,1.0,0.9844591920772827,1295,1509,348399.7415336221,6645462.807114401,348398.74258961703,6645463.291200128
84,82,НАБ. РЕКИ ФОНТАНКИ,наб. реки Фонтанки,1.1240276616079035,1.0,0.9842636127374893,4521,1510,348071.8191794687,6645290.3739673365,348072.06523069565,6645289.277200735
59,83,САДОВАЯ УЛ,Садовая ул.,8.615464610922993,1.0,0.8793834954470781,1435,1511,348127.2469086653,6645288.097865932,348134.3177654508,6645293.020183961
24,84,пл. ТУРГЕНЕВА,пл. Тургенева,7.380676981579779,1.0,0.896670522257883,402,1512,348507.6794741896,6645392.352178841,348500.34585068654,6645391.520097702
92,85,"ТРОИЦКИЙ ПР., УГОЛ ИЗМАЙЛОВСКОГО ПР","Троицкий пр., угол Измайловского пр.",31.572829718204403,1.0,0.5579803839451383,4972,1522,349487.5562373998,6645160.356228576,349489.6553144697,6645191.859203862
45,86,КРАСНОГРАДСКИЙ ПЕР,Красноградский пер.,14.782891947065146,1.0,0.7930395127410879,1162,1523,349550.8481788676,6646183.291179448,349538.0240741643,6646175.937525059
85,87,САДОВАЯ УЛ,Садовая ул.,3.4464680143287723,1.0,0.9517494477993971,4955,1524,349519.03636404837,6645941.877769066,349521.20499309956,6645944.556423544
27,88,"ВИТЕБСКИЙ ВОКЗАЛ, ст. м. ПУШКИНСКАЯ","Витебский вокзал, ст. м. Пушкинская",20.276648521315565,1.0,0.7161269207015821,627,1553,350692.6874220441,6645628.308149336,350677.4760299481,6645614.900836937
112,89,ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ,ст. м. Технологический институт,1.8030887894331473,0.8275862068965517,0.9230326190169014,6302,1554,350186.9418948849,6645274.339551258,350185.64935153816,6645275.5967150815
18,91,"НАБ. ОБВОДНОГО КАНАЛА,150","наб. Обводного канала, 150",4.722478625784337,1.0,0.9338852992390192,328,1654,347389.7557164893,6644394.971735463,347392.1466659629,6644399.044224258
32,111,ТРОИЦКИЙ ПР,Троицкий пр.,7.747252208267878,1.0,0.8915384690842496,663,2045,349444.4847889568,6645070.115919291,349451.00873839424,6645074.29419651
1,113,САД ВАЛЕНТИНА ПИКУЛЯ,сад Валентина Пикуля,5.592094569634645,1.0,0.921710676025115,29,2076,349460.56513346604,6644730.480166735,349461.92323978373,6644725.055494496
48,1,ЛИФЛЯНДСКАЯ УЛ,Лифляндская ул.,7.275995585362559,1.0,0.8981360618049241,1204,433,346946.834902964,6644441.137640615,346943.0146328617,6644447.330026916
136,132,ст. м. БАЛТИЙСКАЯ,ст. м. Балтийская,3.122180153479203,1.0,0.9562894778512911,7979,4314,349037.08003690245,6644108.240044574,349035.1868630822,6644105.75732393
131,134,МАЛАЯ МИТРОФАНЬЕВСКАЯ УЛ,Малая Митрофаньевская ул.,4.231016211709376,1.0,0.9407657730360688,7834,4332,348981.4900904251,6642957.611538815,348982.0302926935,6642953.415149928
140,135,ТЕАТРАЛЬНАЯ ПЛ,Театральная пл.,3.230419059984306,1.0,0.9547741331602198,8085,4386,348895.3443006228,6646353.500244411,348892.5569111351,6646355.1330539975
142,136,БАЛТИЙСКИЙ ВОКЗАЛ,Балтийский вокзал,13.002750288213822,1.0,0.8179614959650066,8250,4410,348977.6045571093,6644210.702580523,348977.0631616182,6644197.711106165
137,138,ПАРФЕНОВСКАЯ УЛ,Парфёновская ул.,12.83098355679481,0.9333333333333333,0.8003662302048726,8028,4471,349646.598628646,6644199.878439387,349657.20609416463,6644207.097567749
127,139,АЛЬБУМИННАЯ УЛ,Альбуминная ул.,33.294723186266474,1.0,0.5338738753922694,7643,4472,349665.58445270255,6643541.961886169,349664.66246281704,6643575.2438411405
138,140,АЛЬБУМИННАЯ УЛ,Альбуминная ул.,26.35178133326666,1.0,0.6310750613342667,8029,4473,349624.0999182402,6643451.614495058,349635.6951377738,6643427.950867622
126,141,МАЛАЯ МИТРОФАНЬЕВСКАЯ УЛ,Малая Митрофаньевская ул.,27.07532715384784,1.0,0.6209454198461302,7642,4474,349645.5880290748,6642947.004772973,349649.58265338,6642973.783800535
139,142,МАЛАЯ МИТРОФАНЬЕВСКАЯ УЛ,Малая Митрофаньевская ул.,12.937146275116985,1.0,0.8188799521483623,8030,4475,349608.9901140067,6643019.148417705,349620.9935659514,6643014.322767992
130,143,МАЛАЯ МИТРОФАНЬЕВСКАЯ УЛ,Малая Митрофаньевская ул.,0.9934864055432294,1.0,0.9860911903223948,7831,4519,348951.8825273133,6642991.28411342,348951.09597927716,6642990.677188857
144,144,"ПАРФЁНОВСКАЯ УЛ., Д. 6","Парфёновская ул., 6",4.51360285053391,0.8947368421052632,0.9052306127241041,8282,4549,349676.25910793024,6643996.692885266,349674.99119965266,6643992.3610243155
129,145,"МИТРОФАНЬЕВСКОЕ ШОССЕ, Д. 5","Митрофаньевское шоссе, 5",4.458054212957822,0.92,0.9135872410185905,7830,4565,348944.34468284756,6643340.665028751,348944.162913035,6643336.210681762
132,146,"МИТРОФАНЬЕВСКОЕ ШОССЕ, Д. 5","Митрофаньевское шоссе, 5",1.975374661449703,0.92,0.9483447547397041,7835,4566,348976.35351740796,6643468.057151327,348976.1367934027,6643470.02060129
147,147,СТАРО-ПЕТЕРГОФСКИЙ ПР,Старо-Петергофский пр.,3.153643489486695,1.0,0.9558489911471861,8409,4592,347857.390617118,6645146.881508564,347857.56341710093,6645143.732602813
148,148,ГОСТИНИЦА АЗИМУТ,гостиница Азимут,1.8448512710393348,1.0,0.9741720822054494,8433,4611,348886.3079352593,6645013.857369139,348885.2605930569,6645012.338635942
135,133,ст. м. БАЛТИЙСКАЯ,ст. м. Балтийская,23.66964368146892,1.0,0.6686249884594351,7978,4315,349019.06197226676,6644093.320412449,349012.35139847663,6644070.621949254
115,114,МАРИИНСКИЙ ТЕАТР,Мариинский театр,21.372909929762702,1.0,0.7007792609833221,6585,2360,348874.2321698517,6646320.019561494,348852.89718945045,6646318.746812444
124,130,УЛ. МАРАТА,ул. Марата,5.662456612120724,1.0,0.9207256074303098,7628,4264,351207.20101873943,6645565.974186425,351202.985393241,6645562.193721303
75,115,ПЛ. ТРУДА. ЦЕНТРАЛЬНЫЙ ВОЕННО-МОРСКОЙ МУЗЕЙ,"пл. Труда, центральный военно-морской музей",25.91196364035193,1.0,0.637232509035073,2030,2861,348728.8725798689,6646852.911358093,348747.1634117991,6646834.557194342
43,116,ИСААКИЕВСКАЯ пл.,Исаакиевская пл.,5.390835391870509,1.0,0.9245283045138128,1127,2928,349649.6861266096,6646917.981250619,349652.11988886754,6646922.791438504
106,117,МАЛОДЕТСКОСЕЛЬСКИЙ ПР,Малодетскосельский пр.,4.306637395476879,1.0,0.9397070764633235,6279,3374,350058.58910371,6644583.652318417,350060.85948693985,6644579.9927439
118,119,УЛ. ЛАБУТИНА,ул. Лабутина,2.8529396815795023,1.0,0.9600588444578868,6685,3622,348830.9822298718,6645423.7830933,348829.082011103,6645425.91110492
116,120,УЛ. СОЮЗА ПЕЧАТНИКОВ,ул. Союза Печатников,3.7651340744872828,1.0,0.9472881229571781,6606,3623,348615.6238853533,6645981.801506052,348612.4732639191,6645983.863015008
117,121,НАБ. РЕКИ ФОНТАНКИ,наб. реки Фонтанки,24.58653893650573,1.0,0.6557884548889197,6684,3624,348888.06811342866,6645334.042942978,348898.51130571903,6645311.78451465
123,122,ЛЕРМОНТОВСКИЙ ПР,Лермонтовский пр.,7.091199755143088,1.0,0.9007232034279968,7448,3835,348605.921566179,6645807.406525132,348599.0349818459,6645805.715350928
16,123,НАБ. ОБВОДНОГО КАНАЛА,наб. Обводного канала,18.95763242487636,1.0,0.734593146051731,326,4104,349443.36681086005,6644460.125343283,349446.40144575376,6644478.838515601
125,124,ПАРФЕНОВСКАЯ УЛ,Парфёновская ул.,22.362444045842143,0.9333333333333333,0.6669257833582098,7641,4124,349706.41400189965,6644242.119561955,349728.41888116754,6644246.102549792
122,125,УЛ. ШКАПИНА 14,"ул. Шкапина, 14",35.86020314230191,1.0,0.49795715600777324,7270,4143,348660.31965144095,6644106.828399616,348682.6995081211,6644134.8479675
121,126,УЛ. ШКАПИНА 48,"ул. Шкапина, 48",17.376263456279876,1.0,0.7567323116120818,7269,4144,348473.18397236837,6643772.736298103,348480.8945873104,6643788.3080979
120,127,УЛ. РОЗЕНШТЕЙНА 19,"ул. Розенштейна, 19",7.295571069571196,1.0,0.8978620050260033,7265,4148,348451.65790996066,6644066.111700155,348448.80698443274,6644059.396226913
134,128,НИКОЛЬСКАЯ ПЛ,Никольская пл.,4.1839311367962235,1.0,0.9414249640848529,7898,4262,349066.98753806995,6645971.748361744,349062.9460050666,6645972.830623607
133,129,НИКОЛЬСКАЯ ПЛ,Никольская пл.,1.8839785483958749,1.0,0.9736243003224576,7836,4263,349035.31161030574,6646001.2818008475,349034.1268528433,6645999.816971531
88,76,10-Я КРАСНОАРМЕЙСКАЯ УЛ,10-я Красноармейская ул.,11.231042604247564,1.0,0.8427654035405341,4964,1452,348883.3214475595,6644755.157613174,348885.7346043994,6644766.126341088
105,74,НАБ. ОБВОДНОГО КАНАЛА,наб. Обводного канала,0.8781097128327017,1.0,0.9877064640203421,6278,1450,350054.81677782635,6644348.250388321,350055.51581117813,6644348.781828854
41,19,ДК СВЯЗИ,ДК Связи,5.636230755148204,1.0,0.9210927694279252,1066,813,349251.5065323751,6646802.947968764,349256.704172808,6646805.127792394
56,21,ПР. РИМСКОГО-КОРСАКОВА,пр. Римского-Корсакова,7.427235493986075,1.0,0.8960187030841948,1381,818,348967.77581311384,6645952.519287362,348960.8375624413,6645955.169665578
65,22,"СТАРО-ПЕТЕРГОФСКИЙ ПР.,27","Старо-Петергофский пр., 27",7.53742629109533,1.0,0.8944760319246654,1527,973,347631.82581001485,6644243.343128746,347638.4420923769,6644246.953890827
30,23,"СТАРО-ПЕТЕРГОФСКИЙ ПР.,27","Старо-Петергофский пр., 27",1.791538693762246,1.0,0.9749184582873285,640,974,347623.6701423798,6644187.9326626165,347624.93963203824,6644186.6685396405
20,24,НАРВСКИЙ ПР,Нарвский пр.,10.293591499896168,1.0,0.8558897190014536,332,975,347555.9015632358,6643992.168373884,347557.74116064695,6644002.296251615
51,25,НАРВСКИЙ ПР,Нарвский пр.,8.966578984841501,1.0,0.874467894212219,1239,976,347712.3000383901,6643984.965637643,347715.3793841731,6643993.386870821
